aristas, tiempo
65536, 0.236696
65536, 0.221149
65536, 0.258606
65536, 0.23975
65536, 0.217358
65536, 0.213905
65536, 0.220279
65536, 0.222712
65536, 0.210025
65536, 0.215126
65536, 0.214773
65536, 0.214592
65536, 0.213976
65536, 0.215939
65536, 0.221231
65536, 0.217198
65536, 0.214851
65536, 0.22538
65536, 0.216821
65536, 0.22364
65536, 0.237831
65536, 0.211561
65536, 0.212945
65536, 0.208569
65536, 0.211101
65536, 0.213428
65536, 0.214367
65536, 0.449266
65536, 0.275805
65536, 0.259538
65536, 0.260482
65536, 0.303375
65536, 0.238643
65536, 0.294218
65536, 0.337478
65536, 0.298079
65536, 0.229678
65536, 0.236047
65536, 0.284706
65536, 0.222753
65536, 0.22788
65536, 0.22053
65536, 0.252901
65536, 0.35342
65536, 0.339346
65536, 0.343765
65536, 0.284445
65536, 0.348671
65536, 0.248793
65536, 0.324161
131072, 0.406993
131072, 0.4739
131072, 0.410697
131072, 0.4355
131072, 0.417692
131072, 0.400981
131072, 0.40517
131072, 0.410817
131072, 0.443722
131072, 0.474825
131072, 0.460901
131072, 0.40017
131072, 0.393532
131072, 0.429926
131072, 0.483206
131072, 0.42489
131072, 0.464044
131072, 0.397721
131072, 0.503993
131072, 0.384857
131072, 0.484634
131072, 0.561798
131072, 0.395643
131072, 0.494948
131072, 0.437322
131072, 0.50189
131072, 0.437282
131072, 0.404334
131072, 0.445476
131072, 0.59984
131072, 0.959936
131072, 0.907895
131072, 0.908282
131072, 0.920965
131072, 1.00956
131072, 1.0424
131072, 0.649564
131072, 1.25704
131072, 0.384653
131072, 0.383404
131072, 0.39625
131072, 0.38463
131072, 0.388082
131072, 0.381292
131072, 0.383683
131072, 0.389046
131072, 0.380577
131072, 0.385024
131072, 0.384284
131072, 0.382079
262144, 0.767095
262144, 0.699992
262144, 0.683558
262144, 0.688687
262144, 0.686185
262144, 0.766521
262144, 0.771355
262144, 0.72248
262144, 0.837722
262144, 0.751415
262144, 0.691283
262144, 0.68648
262144, 0.649226
262144, 0.670528
262144, 0.650121
262144, 0.638205
262144, 0.644232
262144, 0.647427
262144, 0.646135
262144, 0.632589
262144, 0.638312
262144, 0.725612
262144, 0.645967
262144, 0.652563
262144, 0.6627
262144, 0.632332
262144, 0.656803
262144, 0.639263
262144, 0.630678
262144, 0.629405
262144, 0.630754
262144, 0.638816
262144, 0.651207
262144, 0.630445
262144, 0.632141
262144, 0.634639
262144, 0.635848
262144, 0.644256
262144, 0.637068
262144, 0.633824
262144, 0.630188
262144, 0.629049
262144, 0.625782
262144, 0.636553
262144, 0.628197
262144, 0.626983
262144, 0.620662
262144, 0.628467
262144, 0.638476
262144, 0.61956
524288, 1.21514
524288, 1.17722
524288, 1.17443
524288, 1.17833
524288, 1.17775
524288, 1.18052
524288, 1.18167
524288, 1.17006
524288, 1.17499
524288, 1.17681
524288, 1.17667
524288, 1.17443
524288, 1.1843
524288, 1.18746
524288, 1.18553
524288, 1.23474
524288, 1.24325
524288, 1.20199
524288, 1.18727
524288, 1.17755
524288, 1.25391
524288, 1.19765
524288, 1.18701
524288, 1.17959
524288, 1.17029
524288, 1.1835
524288, 1.19332
524288, 1.20991
524288, 1.188
524288, 1.21808
524288, 1.19151
524288, 1.34503
524288, 1.23551
524288, 1.24123
524288, 1.17593
524288, 1.27007
524288, 1.17294
524288, 1.185
524288, 1.24898
524288, 1.26426
524288, 1.52969
524288, 1.55391
524288, 1.49698
524288, 1.49484
524288, 1.43041
524288, 1.42402
524288, 1.62303
524288, 1.56933
524288, 1.52473
524288, 1.52983
1048576, 3.15878
1048576, 2.95288
1048576, 2.94145
1048576, 2.85355
1048576, 2.82721
1048576, 2.82582
1048576, 3.25484
1048576, 2.84985
1048576, 2.78383
1048576, 2.76204
1048576, 2.84941
1048576, 2.85859
1048576, 2.83441
1048576, 2.73004
1048576, 2.84862
1048576, 2.81858
1048576, 2.94316
1048576, 2.77922
1048576, 2.80724
1048576, 2.81766
1048576, 2.81463
1048576, 2.8269
1048576, 2.83235
1048576, 2.78001
1048576, 2.81502
1048576, 2.82733
1048576, 2.79941
1048576, 3.24384
1048576, 2.80606
1048576, 2.87695
1048576, 2.86546
1048576, 2.93102
1048576, 2.75642
1048576, 2.78649
1048576, 2.7847
1048576, 2.77679
1048576, 2.74124
1048576, 2.92261
1048576, 2.78757
1048576, 2.86353
1048576, 2.89694
1048576, 2.83343
1048576, 2.92838
1048576, 2.86629
1048576, 2.87404
1048576, 2.76907
1048576, 2.82119
1048576, 2.80889
1048576, 2.6506
1048576, 2.96749
2097152, 5.87185
2097152, 6.1569
2097152, 6.08128
2097152, 5.33959
2097152, 5.23092
2097152, 5.23977
2097152, 5.29192
2097152, 5.29887
2097152, 5.29222
2097152, 5.32117
2097152, 5.33555
2097152, 5.38619
2097152, 6.4978
2097152, 5.85021
2097152, 6.03762
2097152, 6.22156
2097152, 5.98153
2097152, 6.04994
2097152, 6.0349
2097152, 6.3281
2097152, 6.34588
2097152, 6.27308
2097152, 6.20983
2097152, 6.84132
2097152, 6.19896
2097152, 6.33185
2097152, 6.30816
2097152, 6.34561
2097152, 6.27866
2097152, 6.26783
2097152, 5.63225
2097152, 5.64756
2097152, 6.06497
2097152, 5.93595
2097152, 5.60674
2097152, 5.61605
2097152, 5.76869
2097152, 5.62058
2097152, 5.63322
2097152, 5.81368
2097152, 5.67531
2097152, 5.63495
2097152, 5.61808
2097152, 5.6374
2097152, 5.63914
2097152, 5.65278
2097152, 5.63876
2097152, 5.59654
2097152, 5.58122
2097152, 5.65826
4194304, 11.7209
4194304, 12.9212
4194304, 12.9824
4194304, 12.4973
4194304, 12.3458
4194304, 12.5617
4194304, 12.5853
4194304, 13.2988
4194304, 12.1177
4194304, 29.7584
4194304, 16.827
4194304, 14.2856
4194304, 27.8069
4194304, 12.9005
4194304, 13.0545
4194304, 15.0239
4194304, 11.5417
4194304, 12.0878
4194304, 31.2294
4194304, 32.952
4194304, 30.4214
4194304, 23.3108
4194304, 33.3608
4194304, 18.1766
4194304, 18.2186
4194304, 17.7564
4194304, 18.4783
4194304, 21.4846
4194304, 22.1742
4194304, 21.8028
4194304, 18.3089
4194304, 20.9085
4194304, 22.086
4194304, 21.7299
4194304, 21.0236
4194304, 20.7305
4194304, 19.738
4194304, 21.4489
4194304, 20.0726
4194304, 20.6568
4194304, 21.9464
4194304, 20.9529
4194304, 22.0403
4194304, 21.5127
4194304, 21.5143
4194304, 20.8435
4194304, 21.7603
4194304, 20.6662
4194304, 22.2636
4194304, 21.9838
